"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","721","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","845","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","767","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","553","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","655","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","832","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","973","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","1148.80","","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","984.66","","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","854.04","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","982.44","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","864.80","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","600.52","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","701.04","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","854.72","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853015","10.1.14","949.42","","","","2"


