,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
"Windsor, Ontario","Child pornography (27,50,52)",2.71,1.81,3.02,8.15,5.73
"Windsor, Ontario",Total prostitution,33.09,29.63,19.95,21.73,19.9
"Windsor, Ontario",Disturb the peace (21),36.4,22.98,28.71,21.73,18.09
"Windsor, Ontario",Total administration of justice violations,597.1,486.13,482.38,480.87,432.36
"Windsor, Ontario",Total other violations,60.16,54.72,61.96,55.54,52.46
"Windsor, Ontario",Total Criminal Code traffic violations,206.35,225.23,223.96,210.7,172.16
"Windsor, Ontario",Total impaired driving (49),95.96,104.6,99.74,95.99,76.58
"Windsor, Ontario","Impaired operation, causing death",0.9,0,0.3,0.3,0.6
"Windsor, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"Windsor, Ontario","Impaired operation, causing bodily harm",1.2,0.91,0.91,0,0.3
"Windsor, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Windsor, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",87.83,98.25,93.09,87.84,70.85
"Windsor, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",,,2.72,2.72,0.9
"Windsor, Ontario","Impaired operation, failure to provide breath sample",6.02,5.44,2.72,4.83,3.62
"Windsor, Ontario",Failure to comply or refusal (drugs),,,0,0,0
"Windsor, Ontario","Impaired operation, failure to provide blood sample",0,0,0,0.3,0.3
"Windsor, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"Windsor, Ontario",Total other Criminal Code traffic violations,110.4,120.63,124.22,114.71,95.58
"Windsor, Ontario","Dangerous operation, causing death",0,0,0,0,0
"Windsor, Ontario","Dangerous operation, causing bodily harm",0.3,0.6,1.51,0.3,0.6
"Windsor, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",10.83,9.67,7.56,5.74,5.13
"Windsor, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"Windsor, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Windsor, Ontario",Dangerous operation of motor vehicle evading police,3.01,3.63,1.21,2.72,1.51
"Windsor, Ontario",Total fail to stop or remain (46),84.23,94.32,98.53,90.86,75.68
"Windsor, Ontario",Driving while prohibited,12.03,12.4,10.58,10.57,4.52
"Windsor, Ontario",Other Criminal Code traffic violations,0,0,0,0,0.3
"Windsor, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"Windsor, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation of motor vehicle while street racing,,,4.84,4.53,7.84
"Windsor, Ontario",Total Federal Statute violations,308.02,313.51,239.98,252.36,241.2
"Windsor, Ontario",Total drug violations,256.89,230.37,182.86,200.13,199.9
"Windsor, Ontario","Possession, cannabis",63.17,65.3,55.91,60.67,53.97
"Windsor, Ontario","Possession, cocaine",11.73,12.09,9.37,9.66,6.93
"Windsor, Ontario","Total, possession, other Controlled Drugs and Substances Act drugs",8.42,9.98,10.88,14.19,9.35
"Windsor, Ontario","Heroin, possession",0.3,0,0,0,0
"Windsor, Ontario","Other Controlled Drugs and Substances Act, possession",7.52,9.67,10.28,12.07,7.84
"Windsor, Ontario","Methamphetamines (crystal meth), possession",0,0,0,0.6,0.9
"Windsor, Ontario","Methylenedioxyamphetamine (ecstasy), possession",0.6,0.3,0.6,1.51,0.6
"Windsor, Ontario","Total cannabis, trafficking, production or distribution",115.21,88.28,61.66,73.65,77.79
"Windsor, Ontario","Cannabis, trafficking",22.86,16.02,25.69,22.04,17.79
"Windsor, Ontario","Cannabis, importation and exportation",86.63,68.32,31.74,49.51,53.97
"Windsor, Ontario","Cannabis, production",5.72,3.93,4.23,2.11,6.03
"Windsor, Ontario","Total cocaine, trafficking, production or distribution",25.87,24.49,21.76,20.83,28.94
"Windsor, Ontario","Cocaine, trafficking",23.46,19.35,20.25,17.21,25.33
"Windsor, Ontario","Cocaine, importation and exportation",2.41,5.14,1.51,3.62,3.62
"Windsor, Ontario","Cocaine, production",,,0,0,0
"Windsor, Ontario","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",32.49,30.23,23.27,21.13,22.91
"Windsor, Ontario","Heroin, trafficking",0,0,0,0,0
"Windsor, Ontario","Other Controlled Drugs and Substances Act, trafficking",7.52,7.56,8.46,6.64,8.44
"Windsor, Ontario","Methamphetamines (crystal meth), trafficking",0,0,0,0.91,2.11
"Windsor, Ontario","Methylenedioxyamphetamine (ecstasy), trafficking",0,0.91,2.42,0.91,0
"Windsor, Ontario","Heroin, importation and exportation",1.5,0.3,0,0.3,0.6
"Windsor, Ontario","Other Controlled Drugs and Substances Act, importation and exportation",23.46,21.16,11.49,10.57,11.16
"Windsor, Ontario","Methamphetamines (crystal meth), importation and exportation",,,0,0,0.3
"Windsor, Ontario","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,1.51,0.3
"Windsor, Ontario","Heroin, production",,,0,0,0
"Windsor, Ontario","Other Controlled Drugs and Substances Act, production",,,0.91,0.3,0
"Windsor, Ontario","Methamphetamines (crystal meth), production",0,0.3,0,0,0
"Windsor, Ontario","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Windsor, Ontario","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Windsor, Ontario",Youth Criminal Justice Act,36.1,53.81,33.25,30.19,13.57
"Windsor, Ontario",Total other Federal Statutes,15.04,29.33,23.88,22.04,27.74
"Windsor, Ontario",Bankruptcy Act,0,0,0.6,0.6,0.9
"Windsor, Ontario",Income Tax Act,0,0.3,0,0,0
"Windsor, Ontario",Canada Shipping Act,1.8,9.67,2.72,3.02,3.32
"Windsor, Ontario",Canada Health Act,0,0.3,0.3,0,0
"Windsor, Ontario",Customs Act,0.9,1.51,2.12,2.11,3.92
"Windsor, Ontario",Competition Act,0,0,0,0,0
"Windsor, Ontario",Excise Act,2.41,1.51,1.21,4.53,6.93
"Windsor, Ontario",Total Immigration and Refugee Protection Act (46),3.31,4.84,2.72,3.92,3.92
"Windsor, Ontario",Firearms Act,4.21,5.74,8.46,3.32,3.32
"Windsor, Ontario",National Defense Act,0,0,0,0,0
"Windsor, Ontario",Other federal statutes,2.41,5.44,5.74,4.53,5.43
"Barrie, Ontario (8)","Total, all violations",6076.26,6173.49,5832.34,5269.73,5064.37
"Barrie, Ontario (8)","Total, all Criminal Code violations (including traffic)",5715.36,5800.57,5486.89,4927.7,4727.44
"Barrie, Ontario (8)","Total, all Criminal Code violations (excluding traffic)",5518.74,5557.06,5284.15,4780.9,4555.26
"Barrie, Ontario (8)",Total violent Criminal Code violations (16),920.99,945.53,934.99,814.88,796.56
"Barrie, Ontario (8)","Homicide (17,24)",0,0.51,1.01,0.5,0.99
"Barrie, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Barrie, Ontario (8)",Attempted murder,1.03,0,0.5,0.5,1.98
"Barrie, Ontario (8)","Sexual assault, level 3, aggravated",0,0.51,0.5,2.5,1.98
"Barrie, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0,1.53,1.01,1,0.99
"Barrie, Ontario (8)","Sexual assault, level 1",71.87,57.57,65.06,47.43,64.81
"Barrie, Ontario (8)",Total sexual violations against children (26),3.59,5.6,5.55,3.99,2.97
"Barrie, Ontario (8)","Assault, level 3, aggravated",7.7,5.6,3.53,4.99,4.95
"Barrie, Ontario (8)","Assault, level 2, weapon or bodily harm",79.06,81.51,79.18,62.41,61.35
"Barrie, Ontario (8)","Assault, level 1",405.56,421.31,417.06,368.99,339.9
"Barrie, Ontario (8)","Total assaults against a peace officer (25,35)",11.81,31.59,24.21,12.98,22.76
"Barrie, Ontario (8)",Total other assaults,24.13,40.25,31.27,23.47,24.24
"Barrie, Ontario (8)","Total firearms; use of, discharge, pointing",1.03,1.02,3.53,2,0.99
"Barrie, Ontario (8)",Total robbery (18),45.18,44.83,33.28,39.94,24.74
"Barrie, Ontario (8)",Total forcible confinement or kidnapping (34),11.29,10.7,6.05,3,2.47
"Barrie, Ontario (8)",Total abduction,1.03,1.53,0.5,1,0.99
"Barrie, Ontario (8)",Extortion,1.03,1.02,2.52,1.5,0.49
"Barrie, Ontario (8)",Criminal harassment (36),59.04,73.36,86.24,94.87,95.98
"Barrie, Ontario (8)",Uttering threats,141.18,137.04,146.25,123.83,124.68
"Barrie, Ontario (8)",Threatening or harassing phone calls,51.85,26.49,23.2,16.48,15.83
"Barrie, Ontario (8)",Total other violent violations,4.62,3.57,4.54,3.5,3.46
"Barrie, Ontario (8)",Total property crime violations,3528.91,3720.5,3523.1,3114.2,2934.42
"Barrie, Ontario (8)",Total breaking and entering,391.19,396.35,364.11,315.56,305.27
"Barrie, Ontario (8)","Total possession of stolen property (42,46)",105.24,105.97,110.44,91.87,35.13
"Barrie, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0.49
"Barrie, Ontario (8)",Total theft of motor vehicle (46),163.77,147.23,102.88,102.86,84.11
"Barrie, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",73.93,69.28,70.6,62.91,59.87
"Barrie, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1701.82,1804.97,1717.68,1541.37,1457.56
"Barrie, Ontario (8)",Fraud (30),328.56,351.01,320.24,309.57,270.63
"Barrie, Ontario (8)",Identity theft (30),0,0,1.01,3,1.98
"Barrie, Ontario (8)",Identity fraud (30),,,7.06,6.49,5.94
"Barrie, Ontario (8)",Total mischief,751.57,838.04,820.01,673.57,706.52
"Barrie, Ontario (8)",Arson,12.83,7.64,9.08,6.99,6.93
"Barrie, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Barrie, Ontario (8)",Total other Criminal Code violations,1068.84,891.02,826.06,851.82,824.27
"Barrie, Ontario (8)",Counterfeiting (19),2.57,1.53,2.02,1.5,0.49
"Barrie, Ontario (8)",Total weapons violations,60.06,40.76,42.36,29.96,43.54
"Barrie, Ontario (8)","Child pornography (27,50,52)",8.21,4.59,4.03,6.99,1.98
"Barrie, Ontario (8)",Total prostitution,20.53,3.57,3.53,13.98,6.93
"Barrie, Ontario (8)",Disturb the peace (21),386.57,279.18,286.95,352.01,300.81
"Barrie, Ontario (8)",Total administration of justice violations,522.1,499.26,426.65,363,369.59
"Barrie, Ontario (8)",Total other violations,68.79,62.15,60.52,84.38,100.93
"Barrie, Ontario (8)",Total Criminal Code traffic violations,196.62,243.52,202.73,146.8,172.18
"Barrie, Ontario (8)",Total impaired driving (49),149.9,190.02,162.89,112.34,138.04
"Barrie, Ontario (8)","Impaired operation, causing death",0.51,0,0,0,0
"Barrie, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Barrie, Ontario (8)","Impaired operation, causing bodily harm",1.54,0.51,0,0.5,0
"Barrie, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Barrie, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",139.12,178.82,151.8,102.36,128.14
"Barrie, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",1.54,4.59,6.05,3.5,4.45
"Barrie, Ontario (8)","Impaired operation, failure to provide breath sample",7.19,6.11,5.04,5.99,4.95
"Barrie, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Barrie, Ontario (8)","Impaired operation, failure to provide blood sample",0,0,0,0,0.49
"Barrie, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Barrie, Ontario (8)",Total other Criminal Code traffic violations,46.72,53.49,39.84,34.45,34.14
"Barrie, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Barrie, Ontario (8)","Dangerous operation, causing bodily harm",1.54,2.04,1.51,1,0
"Barrie, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",22.07,18.34,11.09,12.98,12.86
"Barrie, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Barrie, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Barrie, Ontario (8)",Dangerous operation of motor vehicle evading police,2.57,1.53,3.03,1.5,0.49
"Barrie, Ontario (8)",Total fail to stop or remain (46),11.29,15.79,10.59,4.99,6.43
"Barrie, Ontario (8)",Driving while prohibited,8.73,15.28,13.62,13.98,12.86
"Barrie, Ontario (8)",Other Criminal Code traffic violations,0.51,0.51,0,0,0.99
"Barrie, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Barrie, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation of motor vehicle while street racing,,,0,0,0.49
"Barrie, Ontario (8)",Total Federal Statute violations,360.9,372.92,345.45,342.03,336.93
"Barrie, Ontario (8)",Total drug violations,293.13,270.52,249.13,237.17,255.3
"Barrie, Ontario (8)","Possession, cannabis",146.31,148.76,113.47,129.82,151.89
"Barrie, Ontario (8)","Possession, cocaine",46.72,23.43,19.67,26.96,18.31
"Barrie, Ontario (8)","Total, possession, other Controlled Drugs and Substances Act drugs",35.42,38.21,40.85,35.95,35.62
"Barrie, Ontario (8)","Heroin, possession",0,0.51,0,0.5,0.49
"Barrie, Ontario (8)","Other Controlled Drugs and Substances Act, possession",34.91,35.66,38.83,34.95,33.64
"Barrie, Ontario (8)","Methamphetamines (crystal meth), possession",0.51,1.02,1.01,0,0.99
"Barrie, Ontario (8)","Methylenedioxyamphetamine (ecstasy), possession",0,1.02,1.01,0.5,0.49
"Barrie, Ontario (8)","Total cannabis, trafficking, production or distribution",34.4,30.06,44.88,24.47,26.72
"Barrie, Ontario (8)","Cannabis, trafficking",23.1,15.28,26.22,14.48,15.83
"Barrie, Ontario (8)","Cannabis, importation and exportation",2.05,1.02,2.52,0,0
"Barrie, Ontario (8)","Cannabis, production",9.24,13.76,16.14,9.99,10.88
"Barrie, Ontario (8)","Total cocaine, trafficking, production or distribution",19.51,11.72,19.16,10.49,15.34
"Barrie, Ontario (8)","Cocaine, trafficking",18.48,11.72,19.16,10.49,15.34
"Barrie, Ontario (8)","Cocaine, importation and exportation",1.03,0,0,0,0
"Barrie, Ontario (8)","Cocaine, production",,,0,0,0
"Barrie, Ontario (8)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",10.78,18.34,11.09,9.49,7.42
"Barrie, Ontario (8)","Heroin, trafficking",0,1.02,0,0,0
"Barrie, Ontario (8)","Other Controlled Drugs and Substances Act, trafficking",10.78,15.79,9.58,7.49,6.93
"Barrie, Ontario (8)","Methamphetamines (crystal meth), trafficking",0,1.02,0.5,0,0
"Barrie, Ontario (8)","Methylenedioxyamphetamine (ecstasy), trafficking",0,0.51,0.5,0,0
"Barrie, Ontario (8)","Heroin, importation and exportation",0,0,0,0,0
"Barrie, Ontario (8)","Other Controlled Drugs and Substances Act, importation and exportation",0,0,0.5,0.5,0.49
"Barrie, Ontario (8)","Methamphetamines (crystal meth), importation and exportation",,,0,0,0
"Barrie, Ontario (8)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Barrie, Ontario (8)","Heroin, production",,,0,0,0
"Barrie, Ontario (8)","Other Controlled Drugs and Substances Act, production",,,0,1.5,0
"Barrie, Ontario (8)","Methamphetamines (crystal meth), production",0,0,0,0,0
"Barrie, Ontario (8)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Barrie, Ontario (8)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Barrie, Ontario (8)",Youth Criminal Justice Act,45.69,39.74,59,59.92,39.58
"Barrie, Ontario (8)",Total other Federal Statutes,22.07,62.66,37.32,44.94,42.05
"Barrie, Ontario (8)",Bankruptcy Act,,,0,0,0
"Barrie, Ontario (8)",Income Tax Act,0,0,0,0,0
"Barrie, Ontario (8)",Canada Shipping Act,11.29,52.47,31.27,37.45,37.11
"Barrie, Ontario (8)",Canada Health Act,0,0,0,0,0
"Barrie, Ontario (8)",Customs Act,0,0,0,0.5,0
"Barrie, Ontario (8)",Competition Act,0,0,0,0,0
"Barrie, Ontario (8)",Excise Act,2.57,1.02,0.5,1.5,0
"Barrie, Ontario (8)",Total Immigration and Refugee Protection Act (46),0,3.06,0,0,0
"Barrie, Ontario (8)",Firearms Act,4.62,2.04,4.03,3,2.97
"Barrie, Ontario (8)",National Defense Act,0,0,0,0,0
"Barrie, Ontario (8)",Other federal statutes,3.59,4.08,1.51,2.5,1.98
"Sudbury, Ontario","Total, all violations",5901.09,5952.42,6282.57,5915.42,5560.17
"Sudbury, Ontario","Total, all Criminal Code violations (including traffic)",5527.95,5569.54,5907.16,5581.33,5239.81
"Sudbury, Ontario","Total, all Criminal Code violations (excluding traffic)",5339.86,5388.12,5745.05,5404.53,5061.02
"Sudbury, Ontario",Total violent Criminal Code violations (16),1095.15,1144.37,1123.78,1074.81,1031.24
"Sudbury, Ontario","Homicide (17,24)",1.21,2.43,2.44,0,0.61
"Sudbury, Ontario",Total other violations causing death,0,1.82,0,0.61,0
"Sudbury, Ontario",Attempted murder,1.21,4.85,1.83,1.83,2.44
"Sudbury, Ontario","Sexual assault, level 3, aggravated",0,0,1.22,0,1.83
"Sudbury, Ontario","Sexual assault, level 2, weapon or bodily harm",0.61,1.82,1.22,0.61,0
"Sudbury, Ontario","Sexual assault, level 1",71.59,69.78,69.47,78.03,73.83
"Sudbury, Ontario",Total sexual violations against children (26),2.43,3.64,6.7,5.49,8.54
"Sudbury, Ontario","Assault, level 3, aggravated",7.89,11.53,5.48,5.49,16.48
"Sudbury, Ontario","Assault, level 2, weapon or bodily harm",169.28,177.78,159.67,157.9,136.69
"Sudbury, Ontario","Assault, level 1",463.54,435.05,442.44,381.03,394.19
"Sudbury, Ontario","Total assaults against a peace officer (25,35)",31.55,31.55,26.21,40.24,39.66
"Sudbury, Ontario",Total other assaults,17.6,19.42,17.67,10.36,11.59
"Sudbury, Ontario","Total firearms; use of, discharge, pointing",0,1.82,1.83,1.22,2.44
"Sudbury, Ontario",Total robbery (18),72.81,95.87,78.01,101.81,65.29
"Sudbury, Ontario",Total forcible confinement or kidnapping (34),11.53,18.81,19.5,15.24,15.26
"Sudbury, Ontario",Total abduction,1.21,0.61,0.61,0,0.61
"Sudbury, Ontario",Extortion,2.43,5.46,1.83,5.49,6.1
"Sudbury, Ontario",Criminal harassment (36),74.63,97.08,104.21,110.35,99.46
"Sudbury, Ontario",Uttering threats,145.62,135.92,156.62,142.05,134.85
"Sudbury, Ontario",Threatening or harassing phone calls,12.13,26.7,12.19,9.75,9.15
