"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","1866","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1594.32","","","","2"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1658.47","","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1692.96","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1374.50","","","","2"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1312.24","","","","2"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","736.28","","","","2"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","656.93","","","","2"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","835.51","","","","2"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380263","200.1.12","1150.70","","","","2"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","2390","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","2493","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","2787","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","2097","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","2019","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","841","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","595","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","1058","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v69380264","200.1.13","1144","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","1496.04","","","","2"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","1556.69","","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","1765.16","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","1335.03","","","","2"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","1271.92","","","","2"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","523.42","","","","2"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","373.68","","","","2"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","665.14","","","","2"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v69380265","200.1.14","705.47","","","","2"


